datetime,high,low,open,close,volume,symbol
1654704480000,117.9575,117.9575,117.9575,117.9575,4000,GOOG
1654704540000,117.999995,117.9165,117.9575,117.9165,8340,GOOG
1654704600000,117.94775,117.8455,117.91825,117.8455,14580,GOOG
1654704660000,117.92325,117.92325,117.92325,117.92325,3600,GOOG
1654704720000,117.9575,117.9575,117.9575,117.9575,2000,GOOG
1654704780000,117.9765,117.9765,117.9765,117.9765,2000,GOOG
1654704840000,118.106,118.0995,118.099995,118.10475,18820,GOOG
1654704900000,118.06,118.05,118.06,118.05,10000,GOOG
1654704960000,118.041,117.99075,117.99075,117.996,15200,GOOG
1654705020000,118.048,118.0125,118.0125,118.033,10000,GOOG
1654705080000,117.942,117.942,117.942,117.942,2000,GOOG
1654705200000,118.09275,118.035,118.09275,118.043205,13200,GOOG
1654705260000,118.04075,117.979,117.9825,118.04075,14000,GOOG
1654705320000,117.928,117.928,117.928,117.928,3600,GOOG
1654705380000,117.90961,117.707565,117.90961,117.72794,40000,GOOG
1654705440000,117.764,117.75,117.75,117.764,9600,GOOG
1654705500000,117.653,117.643,117.653,117.643,8000,GOOG
1654705560000,117.6005,117.518,117.6005,117.518,15200,GOOG
1654705620000,117.4905,117.395005,117.422505,117.4905,39180,GOOG
1654705680000,117.634,117.5695,117.5695,117.634,7520,GOOG
1654705800000,117.634,117.624,117.634,117.624,6000,GOOG
1654705920000,117.4585,117.4485,117.4585,117.4485,6000,GOOG
1654705980000,117.440405,117.393,117.393,117.440405,7600,GOOG
1654706040000,117.48675,117.337255,117.373155,117.44475,30760,GOOG
1654706100000,117.441,117.386,117.441,117.386,9560,GOOG
1654706220000,117.403,117.4025,117.4025,117.403,4000,GOOG
1654706280000,117.3335,117.256,117.313,117.3,13200,GOOG
1654706340000,117.25,117.1855,117.25,117.2015,31920,GOOG
1654706400000,117.191,117.142,117.142,117.191,7600,GOOG
1654706460000,117.1805,117.1675,117.1805,117.1725,26860,GOOG
1654706520000,117.16156,117.09,117.16156,117.09,9600,GOOG
1654706580000,117.086,117.0005,117.044,117.086,37600,GOOG
1654706640000,117.05625,116.97,117.05625,116.97,11600,GOOG
1654706700000,116.928,116.839,116.918,116.928,11600,GOOG
1654706760000,117.0055,117.0055,117.0055,117.0055,2000,GOOG
1654706820000,117.186,117.02425,117.02425,117.186,24580,GOOG
1654706880000,117.225,117.1505,117.186,117.225,14000,GOOG
1654706940000,117.28975,117.178,117.188,117.28875,59600,GOOG
1654707000000,117.2885,117.25125,117.2885,117.25125,7600,GOOG
1654707060000,117.3,117.21275,117.2565,117.3,22000,GOOG
1654707120000,117.2325,117.1,117.2325,117.1,18240,GOOG
1654707180000,117.11482,117.07112,117.11482,117.09925,15200,GOOG
1654707240000,117.207,117.11775,117.11775,117.1735,19500,GOOG
1654707300000,117.186,117.1535,117.186,117.1545,15200,GOOG
1654707360000,117.2365,117.224,117.224,117.2365,8000,GOOG
1654707420000,117.28025,117.1817,117.28025,117.2085,23200,GOOG
1654707480000,117.253,117.2245,117.2425,117.253,20400,GOOG
1654707540000,117.345,117.345,117.345,117.345,2000,GOOG
1654707600000,117.3255,117.2475,117.3255,117.2965,17200,GOOG
1654707660000,117.344495,117.2,117.2,117.24475,11600,GOOG
1654707720000,117.28425,117.1315,117.208,117.2025,31180,GOOG
1654707780000,117.21275,117.167,117.2035,117.21275,43600,GOOG
1654707840000,117.235,117.1525,117.2335,117.158,12400,GOOG
1654707900000,117.1845,117.125375,117.152,117.16123,19600,GOOG
1654708020000,117.363,117.2805,117.363,117.302995,19200,GOOG
1654708140000,117.3895,117.32617,117.3675,117.32617,8000,GOOG
1654708200000,117.397595,117.29,117.30144,117.397595,21260,GOOG
1654708260000,117.3975,117.3955,117.3975,117.3955,6000,GOOG
1654708320000,117.282,117.208,117.2775,117.282,53220,GOOG
1654708380000,117.30275,117.30275,117.30275,117.30275,3600,GOOG
1654708440000,117.313,117.3015,117.3025,117.306185,23600,GOOG
1654708500000,117.3115,117.3065,117.3065,117.3115,5600,GOOG
1654708560000,117.4025,117.33375,117.33375,117.4025,11600,GOOG
1654708620000,117.3345,117.277,117.3345,117.277,10000,GOOG
1654708680000,117.339,117.339,117.339,117.339,4000,GOOG
1654708740000,117.3505,117.3505,117.3505,117.3505,2100,GOOG
1654708800000,117.3515,117.351,117.3515,117.351,10000,GOOG
1654708860000,117.379495,117.292025,117.351,117.379495,29320,GOOG
1654708920000,117.379,117.369,117.379,117.369,6000,GOOG
1654708980000,117.37725,117.37425,117.37725,117.37425,6000,GOOG
1654709040000,117.306005,117.306005,117.306005,117.306005,2000,GOOG
1654709100000,117.3985,117.33525,117.3985,117.33525,13200,GOOG
1654709160000,117.310625,117.310625,117.310625,117.310625,3600,GOOG
1654709220000,117.3705,117.3705,117.3705,117.3705,5600,GOOG
1654709280000,117.415,117.276,117.415,117.286,24000,GOOG
1654709340000,117.367025,117.32675,117.32675,117.367025,5600,GOOG
1654709400000,117.225,117.1525,117.225,117.1525,14000,GOOG
1654709460000,117.04725,116.990625,117.04725,116.990625,7600,GOOG
1654709520000,117,116.940505,117,116.9905,9600,GOOG
1654709580000,116.9775,116.9775,116.9775,116.9775,2000,GOOG
1654709640000,117.05675,116.98685,116.98685,117.05675,15200,GOOG
1654709700000,117.0565,117.0165,117.0565,117.0165,10000,GOOG
1654709760000,116.98704,116.98704,116.98704,116.98704,2000,GOOG
1654709820000,117.0115,116.93,117.0115,116.93,4700,GOOG
1654709880000,116.918,116.799305,116.918,116.86443,20400,GOOG
1654709940000,116.8935,116.8655,116.89175,116.8655,6000,GOOG
1654710000000,117.0011,116.964995,116.964995,117.0011,16900,GOOG
1654710060000,117.179,117.063005,117.063005,117.1725,24000,GOOG
1654710120000,117.1725,117.0825,117.1155,117.15,56920,GOOG
1654710180000,117.14275,117.1195,117.14275,117.1195,4600,GOOG
1654710240000,117.244335,117.1645,117.1645,117.244335,4000,GOOG
1654710300000,117.282,117.222,117.282,117.222,16060,GOOG
1654710360000,117.25375,117.158,117.158,117.25375,15340,GOOG
1654710420000,117.296,117.244,117.2465,117.284,12000,GOOG
1654710480000,117.251,117.251,117.251,117.251,10000,GOOG
1654710540000,117.25,117.22027,117.22027,117.25,10000,GOOG
1654710600000,117.2995,117.291225,117.2995,117.291225,6000,GOOG
1654710660000,117.291,117.1905,117.291,117.1905,17560,GOOG
1654710720000,117.202625,117.168,117.19179,117.2005,9600,GOOG
1654710780000,117.2995,117.240175,117.26825,117.256,9800,GOOG
1654710840000,117.362,117.3255,117.3325,117.362,16000,GOOG
1654710900000,117.4,117.28875,117.315505,117.4,20400,GOOG
1654710960000,117.498,117.430755,117.4355,117.44625,17600,GOOG
1654711020000,117.4805,117.4535,117.4535,117.4805,7600,GOOG
1654711080000,117.4935,117.4565,117.4885,117.476,24000,GOOG
1654711140000,117.525715,117.4365,117.478,117.525715,30980,GOOG
1654711200000,117.5325,117.483,117.5105,117.483,12000,GOOG
1654711260000,117.45841,117.37175,117.45841,117.42527,30760,GOOG
1654711320000,117.589,117.4835,117.4835,117.589,9600,GOOG
1654711380000,117.656,117.528,117.5555,117.656,71560,GOOG
1654711440000,117.5785,117.55,117.5785,117.55,10000,GOOG
1654711500000,117.5935,117.564,117.564,117.5935,6280,GOOG
1654711560000,117.55,117.55,117.55,117.55,4000,GOOG
1654711620000,117.5475,117.499235,117.499235,117.5475,4000,GOOG
1654711680000,117.5075,117.459,117.5055,117.459,18800,GOOG
1654711740000,117.4565,117.4165,117.4565,117.45,21320,GOOG
1654711800000,117.528,117.45,117.478785,117.528,12180,GOOG
1654711860000,117.5605,117.540075,117.5605,117.540075,5600,GOOG
1654711920000,117.5745,117.484,117.54,117.484,15000,GOOG
1654711980000,117.41325,117.3935,117.403505,117.41325,8000,GOOG
1654712040000,117.515,117.387075,117.4115,117.515,13200,GOOG
1654712100000,117.528,117.5245,117.5245,117.528,11600,GOOG
1654712160000,117.5215,117.447,117.5005,117.447,17600,GOOG
1654712220000,117.4995,117.401,117.401,117.47925,13140,GOOG
1654712280000,117.374,117.374,117.374,117.374,2000,GOOG
1654712340000,117.4695,117.35,117.35,117.4695,10100,GOOG
1654712400000,117.491,117.4395,117.480505,117.45275,17080,GOOG
1654712460000,117.433,117.433,117.433,117.433,10000,GOOG
1654712520000,117.481,117.423575,117.423575,117.4261,16300,GOOG
1654712580000,117.458255,117.39075,117.41,117.420335,19960,GOOG
1654712640000,117.4595,117.3845,117.4595,117.3845,4000,GOOG
1654712700000,117.4345,117.3805,117.413705,117.3805,24020,GOOG
1654712760000,117.336,117.276625,117.3,117.336,9600,GOOG
1654712820000,117.321585,117.24,117.321585,117.259875,17600,GOOG
1654712880000,117.2265,117.20075,117.2265,117.203505,13200,GOOG
1654712940000,117.404,117.30115,117.30115,117.404,22000,GOOG
1654713000000,117.4375,117.357,117.367,117.4375,19780,GOOG
1654713060000,117.4375,117.4375,117.4375,117.4375,2000,GOOG
1654713120000,117.468905,117.35,117.468905,117.35,29600,GOOG
1654713180000,117.4115,117.352,117.4115,117.3835,9200,GOOG
1654713300000,117.383,117.3295,117.383,117.3295,10000,GOOG
1654713360000,117.316875,117.294,117.294,117.316875,9200,GOOG
1654713420000,117.4085,117.31925,117.3395,117.39075,20000,GOOG
1654713480000,117.43225,117.39,117.4,117.43225,14220,GOOG
1654713540000,117.381,117.3105,117.3105,117.381,9600,GOOG
1654713600000,117.402,117.3965,117.3965,117.402,5600,GOOG
1654713720000,117.548,117.503,117.503,117.512,14000,GOOG
1654713780000,117.6345,117.632,117.6345,117.632,6000,GOOG
1654713840000,117.6485,117.576,117.6485,117.63525,15200,GOOG
1654713900000,117.729,117.63373,117.63373,117.6595,19600,GOOG
1654713960000,117.6495,117.6495,117.6495,117.6495,10000,GOOG
1654714020000,117.61,117.6,117.61,117.608,14000,GOOG
1654714080000,117.7045,117.63644,117.7045,117.67475,15600,GOOG
1654714140000,117.70925,117.635,117.635,117.70925,11600,GOOG
1654714200000,117.7525,117.6345,117.7435,117.63525,22000,GOOG
1654714260000,117.69,117.6585,117.6625,117.6585,8000,GOOG
1654714320000,117.71525,117.6615,117.691,117.6955,11200,GOOG
1654714380000,117.681,117.6455,117.681,117.680905,14000,GOOG
1654714440000,117.6605,117.6605,117.6605,117.6605,2000,GOOG
1654714500000,117.606,117.53518,117.53518,117.5735,19200,GOOG
1654714620000,117.542,117.506,117.507,117.542,16000,GOOG
1654714680000,117.594,117.5875,117.5875,117.594,4000,GOOG
1654714740000,117.5975,117.5845,117.5975,117.5845,12000,GOOG
1654714800000,117.5205,117.478,117.478,117.5205,6000,GOOG
1654714860000,117.5205,117.45825,117.5205,117.46,10300,GOOG
1654714920000,117.46,117.41625,117.46,117.45,54000,GOOG
1654714980000,117.45,117.41002,117.4475,117.45,24420,GOOG
1654715040000,117.45,117.35,117.45,117.356425,19980,GOOG
1654715100000,117.355,117.355,117.355,117.355,2000,GOOG
1654715160000,117.35,117.25,117.35,117.25,28180,GOOG
1654715220000,117.2425,117.14509,117.207,117.2425,27200,GOOG
1654715280000,117.33,117.292,117.33,117.292,15600,GOOG
1654715340000,117.395495,117.331,117.331,117.395495,5600,GOOG
1654715400000,117.35,117.258485,117.3025,117.35,13200,GOOG
1654715460000,117.39,117.351,117.3595,117.351,11600,GOOG
1654715520000,117.5,117.4715,117.5,117.4715,8960,GOOG
1654715580000,117.48331,117.4735,117.4735,117.483,7600,GOOG
1654715640000,117.483,117.44175,117.483,117.4805,17200,GOOG
1654715700000,117.51566,117.45,117.475,117.479,14000,GOOG
1654715760000,117.4505,117.4305,117.4305,117.4505,4000,GOOG
1654715820000,117.38575,117.35,117.38,117.35,11740,GOOG
1654715880000,117.3895,117.327,117.34,117.378,12000,GOOG
1654715940000,117.419,117.364,117.4165,117.419,26000,GOOG
1654716000000,117.3955,117.3955,117.3955,117.3955,2000,GOOG
1654716060000,117.55,117.501,117.535995,117.507,23600,GOOG
1654716120000,117.6035,117.5585,117.588,117.6035,17380,GOOG
1654716180000,117.6565,117.5905,117.6,117.6565,18900,GOOG
1654716240000,117.61825,117.583505,117.61825,117.59125,13240,GOOG
1654716300000,117.625,117.612015,117.612015,117.625,9860,GOOG
1654716360000,117.73,117.651,117.651,117.6675,26000,GOOG
1654716420000,117.64175,117.574505,117.5905,117.60675,11200,GOOG
1654716480000,117.7235,117.625505,117.649,117.625505,13600,GOOG
1654716540000,117.6635,117.579,117.6635,117.58125,27980,GOOG
1654716600000,117.668,117.664,117.6645,117.664,11000,GOOG
1654716660000,117.7135,117.598,117.608,117.7,16000,GOOG
1654716720000,117.85,117.676,117.70036,117.85,32800,GOOG
1654716780000,117.928,117.851,117.8885,117.9055,39000,GOOG
1654716840000,117.88225,117.8815,117.88225,117.8815,6000,GOOG
1654716900000,117.8935,117.777505,117.873295,117.777505,32180,GOOG
1654716960000,117.85,117.79675,117.79675,117.85,8700,GOOG
1654717020000,117.90045,117.79625,117.894,117.79625,11200,GOOG
1654717080000,117.8735,117.7875,117.7875,117.8735,25920,GOOG
1654717140000,117.8885,117.8205,117.8625,117.8205,18000,GOOG
1654717200000,117.7935,117.7345,117.7935,117.7845,12680,GOOG
1654717260000,117.7845,117.7845,117.7845,117.7845,8000,GOOG
1654717320000,117.768,117.757,117.757,117.768,6000,GOOG
1654717380000,117.81295,117.742,117.797,117.742,16580,GOOG
1654717440000,117.77729,117.7095,117.77729,117.7325,14000,GOOG
1654717500000,117.765,117.61702,117.763,117.666,18000,GOOG
1654717560000,117.541,117.541,117.541,117.541,2000,GOOG
1654717620000,117.546,117.471,117.5175,117.546,18000,GOOG
1654717680000,117.537,117.4385,117.537,117.4385,7980,GOOG
1654717740000,117.511,117.35,117.4885,117.35,16840,GOOG
1654717800000,117.4675,117.253,117.419,117.253,12000,GOOG
1654717920000,117.495,117.32,117.3775,117.3305,44000,GOOG
1654717980000,117.3015,117.26775,117.269,117.286,10000,GOOG
1654718040000,117.258,117.23657,117.23657,117.2385,17640,GOOG
1654718100000,117.4,117.32,117.32,117.3505,16000,GOOG
1654718160000,117.361,117.2705,117.3515,117.324,32880,GOOG
1654718220000,117.312,117.2015,117.302,117.20325,26000,GOOG
1654718280000,117.22,117.13725,117.2,117.15,64020,GOOG
1654718340000,117.313,117.116,117.1485,117.2575,152620,GOOG
1654718400000,117.238,117.238,117.238,117.238,1522060,GOOG
1654718460000,118.4335,118.4335,118.4335,118.4335,2000,GOOG
1654718520000,117.238,117.238,117.238,117.238,217400,GOOG
1654718700000,117.218,117.218,117.218,117.218,12680,GOOG
1654718760000,117.238,117.218,117.218,117.238,23620,GOOG
1654718940000,117.238,117.238,117.238,117.238,2780,GOOG
1654719240000,117.238,117.238,117.238,117.238,2120,GOOG
1654719900000,117.2765,117.2765,117.2765,117.2765,2000,GOOG
1654722660000,117.35,117.35,117.35,117.35,2000,GOOG
1654722960000,117.309,117.205,117.309,117.205,6460,GOOG
1654775040000,117.75,117.75,117.75,117.75,3340,GOOG
1654775160000,117.8495,117.8495,117.8495,117.8495,2000,GOOG
1654776900000,117.1,117.1,117.1,117.1,3280,GOOG
1654777020000,116.8,116.8,116.8,116.8,2000,GOOG
1654777260000,116.9,116.9,116.9,116.9,4000,GOOG
1654777320000,116.85,116.85,116.85,116.85,4000,GOOG
1654777380000,116.75,116.75,116.75,116.75,2000,GOOG
1654778220000,116.77,116.77,116.77,116.77,4000,GOOG
1654779240000,116.4917,116.4917,116.4917,116.4917,2000,GOOG
1654780320000,117.238,117.238,117.238,117.238,281180,GOOG
1654780380000,116.735,116.735,116.735,116.735,12000,GOOG
1654780440000,116.65,116.65,116.65,116.65,4000,GOOG
1654781160000,116.6,116.6,116.6,116.6,2000,GOOG
1654781280000,116.3795,116.3795,116.3795,116.3795,4000,GOOG
1654781400000,116.855,116.3415,116.499,116.631,326360,GOOG
1654781460000,116.719995,116.37631,116.6095,116.7135,68780,GOOG
1654781520000,117.1575,116.7195,116.8,117.1575,24400,GOOG
1654781580000,117.3275,116.9535,117.1215,117.3275,18020,GOOG
1654781640000,117.748,117.362,117.382,117.65275,85080,GOOG
1654781700000,117.64825,117.37675,117.64825,117.4255,12000,GOOG
1654781760000,117.4885,117.2945,117.4885,117.2945,9000,GOOG
1654781820000,117.302,117.205,117.2145,117.205,47640,GOOG
1654781880000,117.1585,117.001,117.0055,117.07735,16420,GOOG
1654781940000,117.205,116.902,117.205,116.902,12000,GOOG
1654782000000,116.83775,116.781,116.83775,116.8,10440,GOOG
1654782060000,116.95103,116.6665,116.95103,116.8265,41620,GOOG
1654782120000,116.796,116.65,116.75,116.796,18840,GOOG
1654782180000,116.8665,116.747,116.747,116.748,47240,GOOG
1654782240000,117.075,116.738,116.738,116.9765,78640,GOOG
1654782300000,117,116.9315,116.981,116.9315,10000,GOOG
1654782420000,116.98807,116.95,116.95,116.98807,6640,GOOG
1654782480000,117.45,117.3385,117.3385,117.45,12000,GOOG
1654782540000,117.432995,117.27675,117.3385,117.27675,20000,GOOG
1654782600000,117.55,117.25,117.25,117.55,43720,GOOG
1654782660000,117.7385,117.6,117.6735,117.6,50960,GOOG
1654782720000,117.87675,117.726,117.732,117.864,32020,GOOG
1654782780000,117.878615,117.762365,117.86725,117.845,17600,GOOG
1654782840000,117.9255,117.804,117.8485,117.804,44380,GOOG
1654782900000,117.7065,117.6665,117.7065,117.698005,12360,GOOG
1654782960000,117.89825,117.793,117.8275,117.83704,43160,GOOG
1654783020000,117.74775,117.7005,117.74775,117.7005,6000,GOOG
1654783080000,117.873,117.623,117.623,117.873,70880,GOOG
1654783140000,117.8905,117.757625,117.823,117.8905,28540,GOOG
